"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"Prostaglandins and medicine","Prostaglandins Med","0161-4630","","7810330"
"Plant physiology","Plant Physiol","0032-0889","1532-2548","0401224"
"Primary care","Prim Care","0095-4543","1558-299X","0430463"
"Planta medica","Planta Med","0032-0943","1439-0221","0066751"
"Policy analysis","Policy Anal","0098-2067","","7703761"
"Plastic and reconstructive surgery","Plast Reconstr Surg","0032-1052","1529-4242","1306050"
"Plucne bolesti : casopis Udruzenja pneumoftiziologa Jugoslavije = the journal of Yugoslav Association of Phthisiology and Pneumology","Plucne Bolesti","0352-5503","","8413310"
"Plucne bolesti i tuberkuloza","Plucne Bolesti Tuberk","0370-0380","","0226072"
"Plugger (Waterloo, Ia.)","Plugger","","","9875619"
"Pride Institute journal of long term home health care","Pride Inst J Long Term Home Health Care","0743-5088","","8310856"
"Paediatric and perinatal epidemiology","Paediatr Perinat Epidemiol","0269-5022","1365-3016","8709766"
"Perspectives on accreditation","Perspect Accredit","0099-2402","","7511523"
"Pediatric cardiology","Pediatr Cardiol","0172-0643","1432-1971","8003849"
"Pediatric infectious disease","Pediatr Infect Dis","0277-9730","2331-3110","8209468"
"Peptides","Peptides","0196-9781","1873-5169","8008690"
"Prevention in human services","Prev Hum Serv","0270-3114","","8209843"
"The Personnel administrator","Pers Adm","0031-5729","","9877815"
"Operational research quarterly","Oper Res Q","0030-3623","","0352506"
"Pacing and clinical electrophysiology : PACE","Pacing Clin Electrophysiol","0147-8389","1540-8159","7803944"
"The P. A. journal","PA J","0091-4614","","0371225"
"Oncology nursing forum","Oncol Nurs Forum","0190-535X","1538-0688","7809033"
"Operative dentistry","Oper Dent","0361-7734","1559-2863","7605679"
"Pneumonologia polska","Pneumonol Pol","0376-4761","","7605692"
"Pathologist","Pathologist","0031-3017","","0200552"
"Pneumonologie. Pneumonology","Pneumonologie","0033-4073","","1250075"
"Patient education newsletter","Patient Educ Newsl","0278-8209","","9879873"
"Oncodevelopmental biology and medicine : the journal of the International Society for Oncodevelopmental Biology and Medicine","Oncodev Biol Med","0167-1618","","8100446"
"Patient care","Patient Care","0031-305X","1939-1897","0246161"
"Patient counselling and health education","Patient Couns Health Educ","0190-2040","","7806110"
"Pediatric dentistry","Pediatr Dent","0164-1263","1942-5473","7909102"
"Personnel","Personnel","0031-5702","","19540490R"
"La Pediatria medica e chirurgica : Medical and surgical pediatrics","Pediatr Med Chir","0391-5387","2420-7748","8100625"
"Pharmacotherapy","Pharmacotherapy","0277-0008","1875-9114","8111305"
"Omvardaren","Omvardaren","0280-4123","","8410691"
"Paedovita","Paedovita","0737-5131","","8501477"
"Pediatric emergency care","Pediatr Emerg Care","0749-5161","1535-1815","8507560"
"Polskie Archiwum Medycyny Wewnetrznej","Pol Arch Med Wewn","","","0401225"
"The Personnel journal","Pers J","0031-5745","","19540510R"
"Polskie archiwum weterynaryjne","Pol Arch Weter","0079-3647","","0023271"
"Polish journal of pharmacology and pharmacy","Pol J Pharmacol Pharm","0301-0244","","0366561"
"Polish medical journal","Pol Med J","0032-2938","","0376721"
"Orale Implantologie","Orale Implantol","0172-1496","","7901173"
"Polish medical sciences and history bulletin","Pol Med Sci Hist Bull (1973)","0301-0236","","0414140"
"The Prostate","Prostate","0270-4137","1097-0045","8101368"
"Progressive architecture","Prog Arch","0033-0752","","9877788"
"Polski przeglad chirurgiczny","Pol Przegl Chir","0032-373X","2299-2847","0376426"
"Nursing law & ethics","Nurs Law Ethics","0270-6636","","8005047"
"Photo-dermatology","Photodermatol","0108-9684","","8407997"
"Polski przeglad radiologii","Pol Przegl Radiol","0860-1089","","8409860"
"Polski przeglad radiologii i medycyny nuklearnej","Pol Przegl Radiol Med Nukl","0137-7183","","0401226"
"Progress in behavior modification","Prog Behav Modif","0099-037X","","7511775"
"The Psychiatric clinics of North America","Psychiatr Clin North Am","0193-953X","1558-3147","7708110"
"Pharmacy times","Pharm Times","0003-0627","","0216507"
"Physician executive","Physician Exec","0898-2759","","8610398"
"Proceedings of the British Society of Dental and Maxillofacial Radiology","Proc Br Soc Dent Maxillofac Radiol","0957-7173","","9517999"
"Polski tygodnik lekarski (Warsaw, Poland : 1960)","Pol Tyg Lek","0032-3756","","9705468"
"Pathology, research and practice","Pathol Res Pract","0344-0338","1618-0631","7806109"
"Il Policlinico. Sezione chirurgica","Policlinico Chir","0032-2636","","0404461"
"Odontologia (Paris, France)","Odontologia","0244-9331","","8708715"
"Odonto-stomatologie tropicale = Tropical dental journal","Odontostomatol Trop","0251-172X","2491-4428","8103679"
"Organizational behavior and human decision processes","Organ Behav Hum Decis Process","0749-5978","","8504453"
"Orthopedics","Orthopedics","0147-7447","1938-2367","7806107"
"Il Policlinico. Sezione medica","Policlinico Med","0048-4717","","0401144"
"Physiotherapy Canada. Physiotherapie Canada","Physiother Can","0300-0508","1708-8313","0346574"
"The PCR reporter","PCR Rep","0830-9604","","8602600"
"Il Policlinico. Sezione pratica","Policlinico Prat","0032-2644","","0410122"
"Population reports. Special topic monographs","Popul Rep Spec Top Monogr","0161-679X","","7708440"
"Polimery w medycynie","Polim Med","0370-0747","","7509477"
"Population reports. Series L, Issues in world health","Popul Rep L","0197-5838","","7903810"
"Postepy biochemii","Postepy Biochem","0032-5422","","0023525"
"Prevenzione & assistenza dentale","Prev Assist Dent","0393-9960","2039-6384","8603623"
"Patient education and counseling","Patient Educ Couns","0738-3991","1873-5134","8406280"
"Pediatric dermatology","Pediatr Dermatol","0736-8046","1525-1470","8406799"
"Pediatric pathology","Pediatr Pathol","0277-0938","","8303527"
"Pediatric neuroscience","Pediatr Neurosci","0255-7975","","8601677"
"Pediatrics in review","Pediatr Rev","0191-9601","1526-3347","8103046"
"Pediatrician","Pediatrician","0300-1245","","8511837"
"Postepy higieny i medycyny doswiadczalnej","Postepy Hig Med Dosw","0032-5449","","0421052"
"Postgraduate medicine","Postgrad Med","0032-5481","1941-9260","0401147"
"Postgraduate medical journal","Postgrad Med J","0032-5473","1469-0756","0234135"
"Poultry science","Poult Sci","0032-5791","1525-3171","0401150"
"Le Poumon et le coeur","Poumon Coeur","0032-5821","","0404462"
"Puerto Rico y su enfermera","P R Enferm","0145-6652","","7700256"
"Pracovni lekarstvi","Prac Lek","0032-6291","","0404463"
"Pain and headache","Pain Headache","0255-3910","","8410364"
"Pharmacological research","Pharmacol Res","1043-6618","1096-1186","8907422"
"Practica oto-rhino-laryngologica","Pract Otorhinolaryngol (Basel)","0032-6305","","0340156"
"Practice digest","Pract Dig","0161-0287","","7808568"
"Hotetsu rinsho. Practice in prosthodontics","Hotetsu Rinsho","0018-6341","","1254114"
"Profiles in healthcare marketing","Profiles Healthc Mark","1040-7480","","8804347"
"Public health nursing (Boston, Mass.)","Public Health Nurs","0737-1209","1525-1446","8501498"
"The Practitioner","Practitioner","0032-6518","","0404245"
"Public health reports (Washington, D.C. : 1896)","Public Health Rep (1896)","0094-6214","","0433021"
"Pharmaceutical research","Pharm Res","0724-8741","1573-904X","8406521"
"Pharmacology & toxicology","Pharmacol Toxicol","0901-9928","1600-0773","8702180"
"The Prairie rose","Prairie Rose","0032-6666","","19730190R"
"Practica odontologica","Pract Odontol","0185-5905","","8700949"
"Praktische Anasthesie, Wiederbelebung und Intensivtherapie","Prakt Anaesth","0302-7600","","0417656"
"Pigment cell research","Pigment Cell Res","0893-5785","1600-0749","8800247"
"Pathology and immunopathology research","Pathol Immunopathol Res","0257-2761","","8708069"
"Prakticke zubni lekarstvi","Prakt Zubn Lek","0032-6720","","19730200R"
"Praxis der Kinderpsychologie und Kinderpsychiatrie. Beiheft","Prax Kinderpsychol Kinderpsychiatr Beih","0085-5073","","0200651"
"Praxis der Kinderpsychologie und Kinderpsychiatrie","Prax Kinderpsychol Kinderpsychiatr","0032-7034","2196-8225","0404246"
"Prenatal diagnosis","Prenat Diagn","0197-3851","1097-0223","8106540"
"Praxis der Pneumologie","Prax Pneumol","0032-7069","","7705926"
"Praxis und Klinik der Pneumologie","Prax Klin Pneumol","0342-7498","","7705449"
"Praxis","Praxis","0369-8394","","0401230"
"Prensa medica argentina","Prensa Med Argent","0032-745X","","0204056"
"La Prensa medica mexicana","Prensa Med Mex","0032-7468","","0413433"
"Preparative biochemistry","Prep Biochem","0032-7484","","1276634"
"Plant foods for human nutrition (Dordrecht, Netherlands)","Plant Foods Hum Nutr","0921-9668","1573-9104","8803554"
"Der Pathologe","Pathologe","0172-8113","1432-1963","8006541"
"La Presse thermale et climatique","Presse Therm Clim","0032-7875","","0401151"
"Prevenzione stomatologica","Prev Stomatol","0390-1033","","7603982"
"Preventive medicine","Prev Med","0091-7435","1096-0260","0322116"
"Prikladnaia biokhimiia i mikrobiologiia","Prikl Biokhim Mikrobiol","0555-1099","","0023416"
"Primates in medicine","Primates Med","0079-5119","","0127433"
"Probe","Probe (Adelaide)","","","2984823R"
"The Probe","Probe (Lond)","0032-9185","","19740410R"
"Placenta","Placenta","0143-4004","1532-3102","8006349"
"Problemes actuels d'endocrinologie et de nutrition","Probl Actuels Endocrinol Nutr","0079-5666","","0063734"
"Presse medicale (Paris, France : 1983)","Presse Med","0755-4982","2213-0276","8302490"
"Problemes actuels d'oto-rhino-laryngologie","Probl Actuels Otorhinolaryngol","0079-5674","","0404464"
"Pneumologie (Stuttgart, Germany)","Pneumologie","0934-8387","1438-8790","8906641"
"Problemy endokrinologii","Probl Endokrinol (Mosk)","0375-9660","2308-1430","0140673"
"Placenta. Supplement","Placenta Suppl","0265-7023","","8306308"
"Perioperative nursing quarterly","Perioper Nurs Q","8755-9935","","8505284"
"Problemy endokrinologii i gormonoterapii","Probl Endokrinol Gormonoter","0032-9509","","0140721"
"Probe (Ottawa, Ont.)","Probe","0834-1494","","8703585"
"Policy statement. Royal College of General Practitioners","Policy Statement R Coll Gen Pract","0957-0357","","8604205"
"Problemy gematologii i perelivaniia krovi","Probl Gematol Pereliv Krovi","0552-2080","","0401232"
"Problemi na khigienata","Probl Khig","0323-9179","","7703299"
"Problemy kosmicheskoi biologii","Probl Kosm Biol","0555-2788","","0151523"
"Problemy medycyny wieku rozwojowego","Probl Med Wieku Rozwoj","0303-2264","","0420627"
"Problemy Severa","Probl Sev","0555-2982","","0401154"
"Problemy tuberkuleza","Probl Tuberk","0032-9533","","0414141"
"Proceedings of the annual meeting of the American Psychopathological Association","Proc Annu Meet Am Psychopathol Assoc","0091-7389","","7505842"
"Proceedings of the European Dialysis and Transplant Association - European Renal Association. European Dialysis and Transplant Association - European Renal Association. Congress","Proc Eur Dial Transplant Assoc Eur Ren Assoc","","","8503947"
"Protein engineering","Protein Eng","0269-2139","1460-213X","8801484"
"Parasitology research","Parasitol Res","0932-0113","1432-1955","8703571"
"Proceedings. Clinical Spinal Cord Injury Conference","Proc Annu Clin Spinal Cord Inj Conf","","","1265166"
"Progress in cardiovascular nursing","Prog Cardiovasc Nurs","0889-7204","1751-7117","8704064"
"Provider (Washington, D.C.)","Provider","0888-0352","","8608563"
"Pro re nata PRN : the official publication of the Utah Nurses' Association","Pro Re Nata","1044-4025","","8812220"
"Pancreas","Pancreas","0885-3177","1536-4828","8608542"
"Proceedings of the Australian Association of Neurologists","Proc Aust Assoc Neurol","0084-7224","","7505855"
"Proceedings of the British Paedodontic Society","Proc Br Paedod Soc","0308-4922","","7600160"
"Protein sequences & data analysis","Protein Seq Data Anal","0931-9506","","8800894"
"Psychiatric developments","Psychiatr Dev","0262-9283","","8305469"
"The Proceedings of the Cardiff Medical Society","Proc Cardiff Med Soc","","","7505858"
"Psychopharmacology. Supplementum","Psychopharmacology Suppl","0179-8456","","8403197"
"Psychopharmacology series","Psychopharmacol Ser","0931-6795","","8701884"
"Proceedings of the Chinese Academy of Medical Sciences and the Peking Union Medical College = Chung-kuo i hsueh k'o hsueh yuan, Chung-kuo hsieh ho i k'o ta hsueh hsueh pao","Proc Chin Acad Med Sci Peking Union Med Coll","0258-8757","","8712086"
"Proceedings of the Clinical Dialysis and Transplant Forum","Proc Clin Dial Transplant Forum","0094-6044","","0432324"
"Proceedings of the European Dialysis and Transplant Association. European Dialysis and Transplant Association","Proc Eur Dial Transplant Assoc","0071-2736","","0355210"
"Proceedings of the Finnish Dental Society. Suomen Hammaslaakariseuran toimituksia","Proc Finn Dent Soc","","","0366632"
"Proceedings of the Foundation for Orthodontic Research","Proc Found Orthod Res","","","7507378"
"The Proceedings of the Institute of Medicine of Chicago","Proc Inst Med Chic","0091-746X","","7505869"
"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc","Mod Pathol","0893-3952","1530-0285","8806605"
"Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C. Biological and medical sciences","Proc K Ned Akad Wet C","0023-3374","","7505873"
"Proteins","Proteins","0887-3585","1097-0134","8700181"
"Proceedings, annual meeting of the Medical Section of the American Life Convention","Proc Annu Meet Med Sect Am Life Conv","0065-9126","","0432130"
"Proceedings, the annual meeting of the Medical Section of the American Council of Life Insurance","Proc Annu Meet Med Sect Am Counc Life Insur","0148-4931","","7704005"
"Proceedings, the annual meeting of the Medical Section of the American Life Insurance Association","Proc Annu Meet Med Sect Am Life Insur Assoc","0361-1752","","0432131"
"The proceedings of the European Prosthodontic Association ... Annual Meeting. European Prosthodontic Association. Meeting","Proc Eur Prosthodontic Assoc","","","9879984"
"Proceedings of the Mine Medical Officers' Association","Proc Mine Med Off Assoc","0379-9190","","7707378"
"Proceedings of the Mine Medical Officers' Association of S. A","Proc Mine Med Off Assoc SA","0026-4490","","7707377"
"Proceedings of the National Academy of Sciences of the United States of America","Proc Natl Acad Sci U S A","0027-8424","1091-6490","7505876"
"Proceedings. National Cancer Conference","Proc Natl Cancer Conf","0077-3670","","7612873"
"Proceedings. Nursing Theory Conference (University of Kansas)","Proc Nurs Theory Conf","","","1255777"
"The Proceedings of the Nutrition Society","Proc Nutr Soc","0029-6651","1475-2719","7505881"
"Proceedings and papers of the annual conference of the California Mosquito Control Association, inc","Proc Pap Annu Conf Calif Mosq Control Assoc","0091-6501","","7505833"
"Proceedings of the Royal Irish Academy. Section B: Biological, geological, and chemical science","Proc R Ir Acad B","0035-8983","","7505887"
"Proceedings of the Royal Society of Edinburgh. Section B: Biology","Proc R Soc Edinb Biol","0080-455X","","7602713"
"Proceedings of the Royal Society of London. Series B, Biological sciences","Proc R Soc Lond B Biol Sci","0950-1193","2053-9185","7505889"
"Proceedings - Royal Society of Edinburgh. Section B: Natural environment","Proc R Soc Edinb Nat Environ","0308-2113","","7602711"
"Proceedings of the Royal Society of Medicine","Proc R Soc Med","0035-9157","","7505890"
"Proceedings of the Rudolf Virchow Medical Society in the City of New York","Proc Rudolf Virchow Med Soc City N Y","0080-4797","","7505891"
"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)","Proc Soc Exp Biol Med","0037-9727","1525-1373","7505892"
"Proceedings, annual meeting of the United States Animal Health Association","Proc Annu Meet U S Anim Health Assoc","0082-8750","","7505825"
"Proceedings. Veterans Administration Spinal Cord Injury Conference","Proc Veterans Adm Spinal Cord Inj Conf","0083-3568","","1265262"
"Proceedings of the Virchow-Pirquet Medical Society","Proc Virchow Pirquet Med Soc","0885-7857","","7905619"
