AADE editors' journal	Aade Ed. J.	AADE Ed J
North Carolina dental gazette : a publication of North Carolina Dental Society	N. C. Dent. Gaz.	N C Dent Gaz
Mississippi RN	Miss. Rn	Miss RN
Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition	Nutr. Clin. Pract.	Nutr Clin Pract
National Dental Association journal	Natl. Dent. Assoc. J.	Natl Dent Assoc J
Nigerian Dental Journal	Niger. Dent. J.	Niger Dent J
New directions for mental health services	New Dir. Ment. Health Serv.	New Dir Ment Health Serv
Mitteilungen. Deutsche Pharmazeutische Gesellschaft	Mitt. Dtsch. Pharm. Ges. Pharm. Ges. Ddr.	Mitt Dtsch Pharm Ges Pharm Ges DDR
MMWR. Morbidity and mortality weekly report	Mmwr Morb. Mortal. Wkly. Rep.	MMWR Morb Mortal Wkly Rep
MMWR. CDC surveillance summaries : Morbidity and mortality weekly report. CDC surveillance summaries	Mmwr Cdc Surveill. Summ.	MMWR CDC Surveill Summ
Neurophysiologie clinique = Clinical neurophysiology	Neurophysiol. Clin.	Neurophysiol Clin
Nurse education today	Nurse Educ. Today	Nurse Educ Today
Neonatal network : NN	Neonatal Netw.	Neonatal Netw
New England and regional allergy proceedings	N. Engl. Reg. Allergy Proc.	N Engl Reg Allergy Proc
MLN bulletin	Mln Bull.	MLN Bull
Neurologic clinics	Neurol. Clin.	Neurol Clin
Mississippi Dental Association journal	Miss. Dent. Assoc. J.	Miss Dent Assoc J
Missouri medicine	Mo. Med.	Mo Med
The Missouri nurse	Mo. Nurse	Mo Nurse
Modern concepts of cardiovascular disease	Mod. Concepts Cardiovasc. Dis.	Mod Concepts Cardiovasc Dis
Modern healthcare	Mod. Healthc.	Mod Healthc
Mobius	Mobius	Mobius
Modern hospital	Mod. Hosp.	Mod Hosp
Modern medicine of Asia	Mod. Med. Asia	Mod Med Asia
Molecular immunology	Mol. Immunol.	Mol Immunol
Modern nursing home	Mod. Nurs. Home	Mod Nurs Home
Modern problems in paediatrics	Mod. Probl. Paediatr.	Mod Probl Paediatr
Modern problems in ophthalmology	Mod. Probl. Ophthalmol.	Mod Probl Ophthalmol
Modern problems of pharmacopsychiatry	Mod. Probl. Pharmacopsychiatry	Mod Probl Pharmacopsychiatry
Modern treatment	Mod. Treat.	Mod Treat
Modern trends in medical virology	Mod. Trends Med. Virol.	Mod Trends Med Virol
Molecular and cellular probes	Mol. Cell. Probes	Mol Cell Probes
Modern trends in neurology	Mod. Trends Neurol.	Mod Trends Neurol
Modern trends in radiotherapy	Mod. Trends Radiother.	Mod Trends Radiother
Modern trends in rheumatology	Mod. Trends Rheumatol.	Mod Trends Rheumatol
Mykosen. Supplement	Mykosen Suppl.	Mykosen Suppl
Nihon Geka Gakkai zasshi	Nihon Geka Gakkai Zasshi	Nihon Geka Gakkai Zasshi
Modern trends in immunology	Mod. Trends Immunol.	Mod Trends Immunol
Modern trends in orthopaedics	Mod. Trends Orthop.	Mod Trends Orthop
Modern trends in plastic surgery	Mod. Trends Plast. Surg.	Mod Trends Plast Surg
Modern trends in surgery	Mod. Trends Surg.	Mod Trends Surg
Modern veterinary practice	Mod. Vet. Pract.	Mod Vet Pract
Molecular & general genetics : MGG	Mol. Gen. Genet.	Mol Gen Genet
Molecular biology	Mol. Biol.	Mol Biol
Molecular pharmacology	Mol. Pharmacol.	Mol Pharmacol
Molecular biology, biochemistry, and biophysics	Mol. Biol. Biochem. Biophys.	Mol Biol Biochem Biophys
Monthly bulletin of the Ministry of Health and the Public Health Laboratory Service	Mon. Bull. Minist. Health Public Health Lab. Serv.	Mon Bull Minist Health Public Health Lab Serv
Molecular and cellular biochemistry	Mol. Cell. Biochem.	Mol Cell Biochem
Monatshefte fur Veterinarmedizin	Monatsh. Veterinarmed.	Monatsh Veterinarmed
Molecular biology reports	Mol. Biol. Rep.	Mol Biol Rep
Molekuliarnaia biologiia	Mol. Biol. Mosk.	Mol Biol (Mosk)
Molecular and cellular biology	Mol. Cell. Biol.	Mol Cell Biol
Molecular endocrinology (Baltimore, Md.)	Mol. Endocrinol.	Mol Endocrinol
Monatsschrift fur Kinderheilkunde	Monatsschr. Kinderheilkd. 1902.	Monatsschr Kinderheilkd (1902)
Monatsschrift fur Ohrenheilkunde und Laryngo-Rhinologie	Monatsschr. Ohrenheilkd. Laryngorhinol.	Monatsschr Ohrenheilkd Laryngorhinol
Monatsschrift fur Unfallheilkunde	Monatsschr. Unfallheilkd.	Monatsschr Unfallheilkd
Le monde dentaire	Monde Dent.	Monde Dent
Monographs in pathology	Monogr. Pathol.	Monogr Pathol
Mondo odontostomatologico	Mondo Odontostomatol.	Mondo Odontostomatol
Monographs in allergy	Monogr. Allergy	Monogr Allergy
Mondo ortodontico	Mondo Ortod.	Mondo Ortod
Molecular toxicology	Mol. Toxicol.	Mol Toxicol
Monographs of the American Association on Mental Deficiency	Monogr. Am. Assoc. Ment. Defic. 1973.	Monogr Am Assoc Ment Defic (1973)
Monographs on atherosclerosis	Monogr. Atheroscler.	Monogr Atheroscler
Monographs in clinical cytology	Monogr. Clin. Cytol.	Monogr Clin Cytol
Monographs in developmental biology	Monogr. Dev. Biol.	Monogr Dev Biol
Monographs on endocrinology	Monogr. Endocrinol.	Monogr Endocrinol
Monatsschrift Kinderheilkunde : Organ der Deutschen Gesellschaft fur Kinderheilkunde	Monatsschr. Kinderheilkd.	Monatsschr Kinderheilkd
Monographien aus dem Gesamtgebiete der Neurologie und Psychiatrie	Monogr. Gesamtgeb. Neurol. Psychiatr.	Monogr Gesamtgeb Neurol Psychiatr
Movement disorders : official journal of the Movement Disorder Society	Mov. Disord.	Mov Disord
Natural immunity and cell growth regulation	Nat. Immun. Cell Growth Regul.	Nat Immun Cell Growth Regul
Monographien aus dem Gesamtgebiete der Psychiatrie	Monogr. Gesamtgeb. Psychiatr. Psychiatry. Ser.	Monogr Gesamtgeb Psychiatr Psychiatry Ser
Monographs in human genetics	Monogr. Hum. Genet.	Monogr Hum Genet
Neoplastic disease at various sites	Monogr. Neoplast. Dis. Var. Sites	Monogr Neoplast Dis Var Sites
Monographs in oral science	Monogr. Oral Sci.	Monogr Oral Sci
National Institutes of Health consensus development conference consensus statement	Natl. Inst. Health Consens. Dev. Conf. Consens. Statement	Natl Inst Health Consens Dev Conf Consens Statement
Monographs in neural sciences	Monogr. Neural Sci.	Monogr Neural Sci
Monographs of the Physiological Society	Monogr. Physiol. Soc.	Monogr Physiol Soc
Monograph of the American Association of Mental Deficiency	Monogr. Am. Assoc. Ment. Defic.	Monogr Am Assoc Ment Defic
Monographs in population biology	Monogr. Popul. Biol.	Monogr Popul Biol
Monographs of the Society for Research in Child Development	Monogr. Soc. Res. Child Dev.	Monogr Soc Res Child Dev
Monographs in paediatrics	Monogr. Paediatr.	Monogr Paediatr
National Institutes of Health consensus development conference summary	Natl. Inst. Health Consens. Dev. Conf. Summ. 1980.	Natl Inst Health Consens Dev Conf Summ (1980)
Nihon Hotetsu Shika Gakkai zasshi	Nihon Hotetsu Shika Gakkai Zasshi	Nihon Hotetsu Shika Gakkai Zasshi
Monographs in the surgical sciences	Monogr. Surg. Sci.	Monogr Surg Sci
Monographs in virology	Monogr. Virol.	Monogr Virol
MULTIs	Multis	Multis
New England journal of human services	N. Engl. J. Hum. Serv.	N Engl J Hum Serv
Montpellier medical	Montp. Med.	Montp Med
Morphologiai es igazsagugyi orvosi szemle	Morphol. Igazsagugyi Orv. Sz.	Morphol Igazsagugyi Orv Sz
Morphologia medica	Morphol. Med.	Morphol Med
Morphologie et embryologie	Morphol. Embryol. Bucur.	Morphol Embryol (Bucur)
The Mount Sinai journal of medicine, New York	Mt. Sinai J. Med.	Mt Sinai J Med
Nichidai koku kagaku = Nihon University journal of oral science	Nichidai Koko. Kagaku	Nichidai Koko Kagaku
Munca sanitara	Munca Sanit.	Munca Sanit
MPS. Medical products salesman	Mps	MPS
Medical products sales : MPS : the official journal of the American Surgical Trade Association	Med. Prod. Sales	Med Prod Sales
Molekuliarnaia genetika, mikrobiologiia i virusologiia	Mol. Gen. Mikrobiol. Virusol.	Mol Gen Mikrobiol Virusol
MMW, Munchener medizinische Wochenschrift	Mmw Munch. Med. Wochenschr.	MMW Munch Med Wochenschr
Nursing mirror and midwives journal	Nurs. Mirror Midwives J.	Nurs Mirror Midwives J
News letter. Maine State Nurses' Association	News Lett. Maine State Nurses Assoc.	News Lett Maine State Nurses Assoc
News letter. Maine State Nurses' Association	News Lett. Maine State Nurses Assoc. 1966.	News Lett Maine State Nurses Assoc (1966)
NAACOG newsletter	Naacog Newsl.	NAACOG Newsl
News & Views : Rhode Island Nursing Magazine	News Views	News Views
Munnpleien	Munnpleien	Munnpleien
Muscle biology	Muscle Biol.	Muscle Biol
Muscle & nerve	Muscle Nerve	Muscle Nerve
Mutation research	Mutat. Res.	Mutat Res
Mycologia	Mycologia	Mycologia
Mycopathologia et mycologia applicata	Mycopathol. Mycol. Appl.	Mycopathol Mycol Appl
Mycopathologia	Mycopathologia	Mycopathologia
Mykosen	Mykosen	Mykosen
Mycoses	Mycoses	Mycoses
Monographs of the American Association on Mental Deficiency (1982)	Monogr. Am. Assoc. Ment. Defic. 1982	Monogr Am Assoc Ment Defic (1982)
Molecular and biochemical parasitology	Mol. Biochem. Parasitol.	Mol Biochem Parasitol
The New England journal of medicine	N. Engl. J. Med.	N Engl J Med
NAACOG technical bulletin	Naacog Tech. Bull.	NAACOG Tech Bull
NADL journal	Nadl J.	NADL J
Nagoya journal of medical science	Nagoya J. Med. Sci.	Nagoya J Med Sci
Organizational dynamics	Organ. Dyn.	Organ Dyn
Nagoya medical journal	Nagoya Med. J.	Nagoya Med J
Die Nahrung	Nahrung	Nahrung
Naika. Internal medicine	Naika	Naika
Nanr News	Nanr News	NANR News
Narodno zdravlje	Nar. Zdrav.	Nar Zdrav
Nasu suteshon : NS = Nurses' station quarterly	Nasu Suteshon	Nasu Suteshon
A report of the ... National Forum on Hospital and Health Affairs. National Forum on Hospital and Health Affairs	Rep. Natl. Forum Hosp. Health Aff.	Rep Natl Forum Hosp Health Aff
National Cancer Institute monograph	Natl. Cancer Inst. Monogr.	Natl Cancer Inst Monogr
National Institute on Drug Abuse research monograph series	Natl. Inst. Drug Abuse Res. Monogr. Ser.	Natl Inst Drug Abuse Res Monogr Ser
National Cancer Institute research report	Natl. Cancer Inst. Res. Rep.	Natl Cancer Inst Res Rep
NIDA research monograph	Nida Res. Monogr.	NIDA Res Monogr
Bulletin (National Clearinghouse for Poison Control Centers (U.S.))	Bull. Natl. Clgh. Poison Control Cent.	Bull Natl Clgh Poison Control Cent
Proceedings. National Conference on Methadone Treatment	Proc. Natl. Conf. Methadone Treat.	Proc Natl Conf Methadone Treat
Nursing RSA = Verpleging RSA	Nurs. Rsa	Nurs RSA
National Conference on Dental Public Relations	Natl. Conf. Dent. Public Relat.	Natl Conf Dent Public Relat
[Preconference papers]. National Dental Health Conference	Preconf. Papers Natl. Dent. Health Conf. U. S.	Preconf Papers Natl Dent Health Conf (U S)
National Institute of Animal Health quarterly	Natl. Inst. Anim. Health Q. Tokyo.	Natl Inst Anim Health Q (Tokyo)
NCI monographs : a publication of the National Cancer Institute	Nci Monogr.	NCI Monogr
NLN convention papers	Nln Conv. Pap.	NLN Conv Pap
Transactions. National Safety Council. National Safety Congress	Trans. Natl. Saf. Congr.	Trans Natl Saf Congr
NATNews	Natnews	NATNEWS
Nature	Nature	Nature
Nature: New biology	Nat. New Biol.	Nat New Biol
Die Naturwissenschaften	Naturwissenschaften	Naturwissenschaften
Nauchni trudove. Sofia. Nauchno-izsledovatelski stomatologichen institut	Nauchni Tr. Nauchnoizsled. Stomatol. Inst. Sofiia.	Nauchni Tr Nauchnoizsled Stomatol Inst (Sofiia)
National safety news	Natl. Saf. News	Natl Saf News
Nauchni trudove na Visshiia meditsinski institut, Sofiia	Nauchni Tr. Vissh. Med. Inst. Sofiia	Nauchni Tr Vissh Med Inst Sofiia
Naunyn-Schmiedeberg's archives of pharmacology	Naunyn Schmiedebergs. Arch. Pharmacol.	Naunyn Schmiedebergs Arch Pharmacol
North Carolina dental journal	N. C. Dent. J.	N C Dent J
North Carolina medical journal	N. C. Med. J.	N C Med J
The Nebraska medical journal	Nebr. Med. J.	Nebr Med J
Nebraska nurse	Nebr. Nurse	Nebr Nurse
Nebraska Symposium on Motivation. Nebraska Symposium on Motivation	Nebr. Symp. Motiv.	Nebr Symp Motiv
Nederlands militair geneeskundig tijdschrift	Ned. Milit. Geneeskd. Tijdschr.	Ned Milit Geneeskd Tijdschr
Nephrology news & issues	Nephrol. News Issues	Nephrol News Issues
NursingConnections	Nursingconnections	Nursingconnections
Nursing economic$	Nurs. Econ.	Nurs Econ
Nederlands tandartsenblad	Ned. Tandartsenbl.	Ned Tandartsenbl
Nederlands tijdschrift voor geneeskunde	Ned. Tijdschr. Geneeskd.	Ned Tijdschr Geneeskd
Nursing practice (Edinburgh, Scotland)	Nurs. Pract.	Nurs Pract
Nursing success today	Nurs. Success Today	Nurs Success Today
Nursing standard : official newspaper of the Royal College of Nursing	Nurs. Stand. 1984.	Nurs Stand (1984)
Nederlands tijdschrift voor de psychologie en haar grensgebieden	Ned. Tijdschr. Psychol.	Ned Tijdschr Psychol
Nederlands tijdschrift voor tandheelkunde	Ned. Tijdschr. Tandheelkd.	Ned Tijdschr Tandheelkd
Nederlandsch tijdschrift voor verloskunde en gynaecologie	Ned. Tijdschr. Verloskd. Gynaecol.	Ned Tijdschr Verloskd Gynaecol
Neirofiziologiia = Neurophysiology	Neirofiziologiia	Neirofiziologiia
Navy medicine	Navy Med.	Navy Med
Neoplasma	Neoplasma	Neoplasma
Nephron	Nephron	Nephron
Nephrology nurse	Nephrol. Nurse	Nephrol Nurse
Nervnaia sistema	Nerv. Sist.	Nerv Sist
Nevada RNformation	Nev. Rnformation	Nev Rnformation
Der Nervenarzt	Nervenarzt	Nervenarzt
The Netherlands journal of medicine	Neth. J. Med.	Neth J Med
Neue Munchner Beitrage zur Geschichte der Medizin und Naturwissenschaften. Medizinhistorische Reihe	Neue Munch. Beitr. Gesch. Med. Naturwiss. Medizinhist. Reihe	Neue Munch Beitr Gesch Med Naturwiss Medizinhist Reihe
Nephrologie	Nephrologie	Nephrologie
Neurobiology of aging	Neurobiol. Aging	Neurobiol Aging
Neurobehavioral toxicology	Neurobehav. Toxicol.	Neurobehav Toxicol
Neurobiology	Neurobiology	Neurobiology
Neurochemical research	Neurochem. Res.	Neurochem Res
Neurochirurgia	Neurochirurgia Stuttg.	Neurochirurgia (Stuttg)
Neuro-Chirurgie	Neurochirurgie.	Neurochirurgie
Neurobehavioral toxicology and teratology	Neurobehav. Toxicol. Teratol.	Neurobehav Toxicol Teratol
Neuroepidemiology	Neuroepidemiology	Neuroepidemiology
Neuropathology and applied neurobiology	Neuropathol. Appl. Neurobiol.	Neuropathol Appl Neurobiol
Neurocirugia	Neurocirugia	Neurocirugia
Neuroendocrinology	Neuroendocrinology	Neuroendocrinology
Neurological research	Neurol. Res.	Neurol Res
Neurology India	Neurol. India	Neurol India
Neurologia medico-chirurgica	Neurol. Med. Chir. Tokyo.	Neurol Med Chir (Tokyo)
Neurologia i neurochirurgia polska	Neurol. Neurochir. Pol.	Neurol Neurochir Pol
Neurologia, neurochirurgia i psychiatria polska	Neurol. Neurochir. Psychiatr. Pol.	Neurol Neurochir Psychiatr Pol
Neurologia, neurocirugia, psiquiatria	Neurol. Neurocir. Psiquiatr.	Neurol Neurocir Psiquiatr
NYO [reports]. U.S. Atomic Energy Commission	Nyo Rep.	NYO Rep
Neurologia, psihiatria, neurochirurgia	Neurol. Psihiatr. Neurochir.	Neurol Psihiatr Neurochir
No shinkei geka. Neurological surgery	No Shinkei Geka	No Shinkei Geka
Neurologija	Neurologija	Neurologija
Neurology	Neurology	Neurology
Neuropadiatrie	Neuropadiatrie	Neuropadiatrie
Neuropatologia polska	Neuropatol. Pol.	Neuropatol Pol
New Zealand nursing forum	N. Z. Nurs. Forum	N Z Nurs Forum
Neuropediatrics	Neuropediatrics	Neuropediatrics
Neuropharmacology	Neuropharmacology	Neuropharmacology
Neuropeptides	Neuropeptides	Neuropeptides
Neuropsychiatrie de l'enfance et de l'adolescence	Neuropsychiatr. Enfance. Adolesc.	Neuropsychiatr Enfance Adolesc
Neuropsihijatrija	Neuropsihijatrija	Neuropsihijatrija
Neurosurgery	Neurosurgery	Neurosurgery
Neuropsychobiology	Neuropsychobiology	Neuropsychobiology
Neuropsychologia	Neuropsychologia	Neuropsychologia
Neuroscience and behavioral physiology	Neurosci. Behav. Physiol.	Neurosci Behav Physiol
Neuroradiology	Neuroradiology	Neuroradiology
Neurosciences research	Neurosci. Res. N. Y.	Neurosci Res (N Y)
Neuroscience	Neuroscience	Neuroscience
Neurosciences Research Program bulletin	Neurosci. Res. Program Bull.	Neurosci Res Program Bull
Nevada Nurses Association Quarterly Newsletter	Nev. Nurses Assoc. Q. Newsl.	Nev Nurses Assoc Q Newsl
New Istanbul contribution to clinical science	New Istanbul Contrib. Clin. Sci.	New Istanbul Contrib Clin Sci
The National engineer	Natl. Eng.	Natl Eng
The New physician	New Physician	New Physician
The New York times magazine	N. Y. Times Mag.	N Y Times Mag
New Zealand School Dental Service gazette	N. Z. Sch. Dent. Serv. Gaz.	N Z Sch Dent Serv Gaz
News Bulletin - Indian Dental Association	News Bull. Indian Dent. Assoc.	News Bull Indian Dent Assoc
News Letter; Florence Nightingale International Nurses Association	News Lett. Florence Nightingale Int. Nurs. Assoc.	News Lett Florence Nightingale Int Nurs Assoc
The Newsletter of biomedical safety & standards	Newsl. Biomed. Saf. Stand.	Newsl Biomed Saf Stand
Newsette - Department of Health National League of Nurses, Manila, Philippines	Newsette	Newsette
Newsletter. International College of Dentists. India Section	Newsl. Int. Coll. Dent. India Sect.	Newsl Int Coll Dent India Sect
Newsletter. American Academy of Implant Dentistry	Newsl. Am. Acad. Implant Dent.	Newsl Am Acad Implant Dent
Newsletter. Wisconsin League for Nursing	Newsl. Wis. League Nurs.	Newsl Wis League Nurs
Niedersachsisches Zahnarzteblatt	Niedersachs. Zahnarztebl.	Niedersachs Zahnarztebl
Nicaragua Odontologica	Nicar. Odontol.	Nicar Odontol
The Nigerian nurse	Niger. Nurse	Niger Nurse
Nihon Igaku Hoshasen Gakkai zasshi. Nippon acta radiologica	Nihon Igaku Hoshasen Gakkai Zasshi	Nihon Igaku Hoshasen Gakkai Zasshi
New Jersey League for Nursing news	N. J. League Nurs. News	N J League Nurs News
New Jersey nurse	N. J. Nurse	N J Nurse
Njsna Newsletter	Njsna Newsl.	NJSNA Newsl
Perspectives	Perspectives Montclair.	Perspectives (Montclair)
New Mexico dental journal	N. M. Dent. J.	N M Dent J
New Mexico nurse	N. M. Nurse	N M Nurse
Den Norske tannlaegeforenings tidende	Nor. Tannlaegeforen. Tid.	Nor Tannlaegeforen Tid
Nordisk hygienisk tidskrift	Nord. Hyg. Tidskr.	Nord Hyg Tidskr
Nordisk hygienisk tidskrift. Supplementum	Nord. Hyg. Tidskr. Suppl.	Nord Hyg Tidskr Suppl
Nordisk medicin	Nord. Med.	Nord Med
Nordisk psykiatrisk tidsskrift. Nordic journal of psychiatry	Nord. Psykiatr. Tidsskr.	Nord Psykiatr Tidsskr
Nordisk veterinaermedicin	Nord. Vet. Med.	Nord Vet Med
Normale und pathologische Anatomie	Norm. Pathol. Anat. Stuttg.	Norm Pathol Anat (Stuttg)
Northwest dentistry	Northwest Dent.	Northwest Dent
Northwest medicine	Northwest Med.	Northwest Med
Dental research and graduate study	Dent. Res. Grad. Study	Dent Res Grad Study
La Nouvelle presse medicale	Nouv. Presse Med.	Nouv Presse Med
Nouvelle revue francaise d'hematologie	Nouv. Rev. Fr. Hematol. 1978.	Nouv Rev Fr Hematol (1978)
Nouvelle revue francaise d'hematologie; blood cells	Nouv. Rev. Fr. Hematol. Blood Cells	Nouv Rev Fr Hematol Blood Cells
Novosti meditsinskogo priborostroeniia	Nov. Med. Priborostr.	Nov Med Priborostr
Novosti meditsinskoi tekhniki	Nov. Med. Tekh.	Nov Med Tekh
Nowotwory	Nowotwory	Nowotwory
The Nova Scotia medical bulletin	N. S. Med. Bull.	N S Med Bull
Bulletin - National Tuberculosis Association	Bull. Natl. Tuberc. Assoc.	Bull Natl Tuberc Assoc
Bulletin - National Tuberculosis and Respiratory Disease Association	Bull. Natl. Tuberc. Respir. Dis. Assoc.	Bull Natl Tuberc Respir Dis Assoc
Nuclear-Medizin	Nucl. Med. Stuttg.	Nucl Med (Stuttg)
